timestamp_utc,J,power_W,real_power_W,Tmotor_degC,Tamb_filled,Tbatt_max_filled
2026-05-21 17:09:52,ELBOW,0.0452,0.00931973915913556,33.23,25.02,36.05
2026-05-21 17:09:52,J1,0.0099,0.0020512208722986247,40.14,25.02,36.05
2026-05-21 17:09:52,J2,1.1578,0.24387935594499013,39.01,25.02,36.05
2026-05-21 17:09:52,TWIST,0.0162,0.003349617666011788,33.98,25.02,36.05
2026-05-21 17:09:52,PITCH,0.013,0.012563823182711199,38.79,25.02,36.05
2026-05-21 17:09:52,ROLL,0.0007,0.0006692357563850688,35.85,25.02,36.05
2026-05-21 17:09:52,YAW,0.0206,0.02001372966601179,40.23,25.02,36.05
2026-05-21 17:09:56,ROLL,0.0005,0.00047807858546168965,35.88,25.02,36.05
2026-05-21 17:09:56,YAW,0.0208,0.02021097996070727,40.27,25.02,36.05
2026-05-21 17:09:56,PITCH,0.0126,0.012179026326129667,38.83,25.02,36.05
2026-05-21 17:09:56,TWIST,0.0175,0.0036186836935166995,34.0,25.02,36.05
2026-05-21 17:09:56,J2,1.1258,0.237156206302554,39.03,25.02,36.05
2026-05-21 17:09:56,J1,0.0053,0.001098168330058939,40.15,25.02,36.05
2026-05-21 17:09:56,ELBOW,0.0448,0.009237953634577602,33.25,25.02,36.05
2026-05-21 17:10:00,ELBOW,0.0498,0.010269358774066798,33.26,25.02,36.05
2026-05-21 17:10:00,J1,0.0042,0.0008703099724950884,40.17,25.02,36.05
2026-05-21 17:10:00,J2,1.1339,0.23887125020039293,39.04,25.02,36.05
2026-05-21 17:10:00,TWIST,0.0172,0.00355678157956778,34.01,25.02,36.05
2026-05-21 17:10:00,PITCH,0.012,0.01160077013752456,38.87,25.02,36.05
2026-05-21 17:10:00,ROLL,0.0011,0.001051889587426326,35.91,25.02,36.05
2026-05-21 17:10:00,YAW,0.0206,0.020020286051080548,40.32,25.02,36.05
2026-05-21 17:10:04,PITCH,0.0114,0.0110223442043222,38.91,25.02,36.05
2026-05-21 17:10:04,TWIST,0.0176,0.003639768518664047,34.03,25.02,36.05
2026-05-21 17:10:04,ROLL,0.0007,0.0006694585461689587,35.94,25.02,36.05
2026-05-21 17:10:04,J1,0.0048,0.0009947123929273083,40.19,25.02,36.05
2026-05-21 17:10:04,ELBOW,0.0423,0.008723745901768174,33.29,25.02,36.05
2026-05-21 17:10:04,J2,1.1278,0.2376035745697446,39.06,25.02,36.05
