t_s,Tm_HIP_X,Tm_HIP_Y,Tm_SHIN_ANKLE,Tm_SHIN_KNEE,Tm_SPN_X,Tm_SPN_Z,Tm_TALUS,Tm_THIGH_U,P_HIP_X,P_HIP_Y,P_SHIN_ANKLE,P_SHIN_KNEE,P_SPN_X,P_SPN_Z,P_TALUS,P_THIGH_U,Ts_spine,Ts_pelvis,Ts_hip,Ts_thigh_u,Ts_thigh_l,Ts_shin,Ts_ankle,T_amb
1610.0,83.3630318018824,87.53147505754553,77.36982821434434,118.94512187552732,93.78054333479771,119.3069791920019,,73.52508619104294,0.0014029939732702308,1.317365101174917e-05,5.269460404699668e-05,64.7055467044092,0.00032365269797650164,32.33209820547089,0.0,1.317365101174917e-05,94.05283091787429,70.7080241545893,65.42986473429944,42.21167632850237,63.697758454106214,43.083473429951646,43.52994685990333,23.04049275362316
1612.0,83.34862178411731,87.49779406968285,77.35664598136447,118.9561547498688,93.76853121419063,119.285401813849,,73.5123477684982,0.0026,1.3413425366907682e-05,0.0001,64.73026965618612,0.0002164664365827308,32.40363222709223,0.0,0.0007926925970647385,94.05737198067622,70.642420289855,65.36961352656998,42.177772946859854,63.609314009661766,43.0894057971014,43.49896618357484,23.015589371980653
1614.0,83.33375396420372,87.46394940520732,77.34360937745173,118.9703765678861,93.75684512145781,119.25882329901721,,73.49939994837257,0.0019163935475409836,4.3647580327868846e-05,0.00017090161311475408,64.81716166064263,0.0003136270163934426,32.40137549009836,0.0,8.545080655737704e-05,94.05811594202889,70.58818840579703,65.30394202898543,42.14366666666662,63.51685990338157,43.097115942028935,43.46856521739125,22.998971014492728
1616.0,83.31876389875677,87.42917836674856,77.33090025285158,118.9717191514494,93.74497032981488,119.26005657381143,,73.4863628205769,0.0017606606439616805,0.0006475475252822406,0.00043443440660280083,64.75310970457755,5.6556559339719925e-05,32.29011538831533,0.0,1.3113118679439843e-05,94.05739613526558,70.54654589371972,65.23450241545886,42.111652173912994,63.42603864734292,43.107801932367096,43.439526570048265,22.99109178743959
1618.0,83.30371435319537,87.39427361747715,77.31861796827414,118.98330141992137,93.7338026136744,119.26070247136428,,73.47334023919609,0.0017,0.000347064698718548,0.000460298524038911,64.62460757408526,4.63183886212705e-05,32.324190647542494,0.0,0.0001,94.0593381642511,70.51516908212552,65.16172463768109,42.08285024154585,63.340458937198,43.120932367149706,43.41198067632846,22.989275362318814
1620.0,83.2890887276435,87.35899788311217,77.30623770122502,118.99382443564537,93.72255945143527,119.24104775395196,,73.4602650236397,0.0011818181266259294,0.00017272729112469026,0.00018636364556234514,65.13311366509122,0.00032954546834351766,32.31277727979188,0.0,0.0001,94.06511594202887,70.49294202898542,65.08959420289847,42.061429951690776,63.26226570048302,43.137294685990284,43.3884057971014,22.994888888888863
1622.0,83.2742781909617,87.32332267285277,77.29385911283768,119.0070619090553,93.71146371466199,119.24363745889025,,73.44749928514963,0.0019029939740351583,0.0,1.2874246754394799e-05,64.04364489218617,0.00014356287662280258,32.366662582452705,0.0,0.0001257484935087896,94.07054106280182,70.4810966183574,65.02382608695645,42.044908212560344,63.193884057970955,43.15477294685986,43.3694057971014,23.006676328502394
1624.0,83.25914285618293,87.28841777344128,77.28241160034723,119.0152186604018,93.69940758645103,119.2410349395324,,73.43421202909434,0.0018225645706642793,1.361828562936438e-05,0.0002408548568880931,64.48140030177976,0.00037042742844404657,32.349040507437365,0.0,8.638171437063563e-05,94.07685507246366,70.49480193236708,64.96643478260862,42.03437198067628,63.13736714975839,43.1713478260869,43.355536231884,23.025618357487897
1626.0,83.2437519429334,87.25374022654621,77.2711181643265,119.02117888988593,93.68803903338176,119.24484740226583,,73.42069888725517,0.001083781194168899,0.0,0.00016756238833779818,64.81860461212801,5e-05,32.379272309592,0.0,1.6218805831100913e-05,94.0888840579709,70.53680193236707,64.92360869565209,42.03082608695648,63.094381642512005,43.18627053140092,43.350352657004784,23.053758454106255
1628.0,83.22864405677626,87.21910157196447,77.25990845078245,119.03994126455434,93.67636452440006,119.23360050021732,,73.40727705262886,0.002432043682539683,0.00018154758095238098,0.0001,64.7662272951873,0.00013834321269841276,32.32575069262222,0.0,0.0001,94.09933816425111,70.57557971014485,64.89483574879219,42.03095652173908,63.06376328502408,43.197618357487876,43.35196618357483,23.085739130434757
1630.0,83.21396881218563,87.184534111605,77.24853357873678,119.05811555718869,93.66490772673629,119.22763043521586,,73.39372631420088,0.002391956312725716,0.00025948361727214347,0.00027298907818142895,64.9144902708312,0.00017428003500107028,32.47571206639526,0.0,0.0,94.10692753623178,70.5981352657004,64.87707729468592,42.03251207729463,63.04630917874389,43.206516908212514,43.361487922705265,23.119642512077274
1632.0,83.19880514845465,87.15020834364594,77.2373521863759,119.071739392993,93.65312845604458,119.22238343172786,,73.38065467688853,0.0024539130525116563,8.376811694573963e-05,0.00011623188305426038,64.66648144907865,0.00012565217541860943,32.270069998891906,0.0,0.0,94.11517391304338,70.6201545893719,64.87254589371973,42.03849275362314,63.045999999999935,43.21231400966179,43.37999516908208,23.15275362318838
1634.0,83.18348369160113,87.11602709591702,77.22600166829017,119.08678804582141,93.64110169205725,119.21526555182975,,73.36773461147696,0.002586526941441668,0.00047305388288333634,2.6946117116663677e-05,64.66399849849121,9.041917567499555e-05,32.27051018766177,0.0,0.0,94.1209806763284,70.62513043478252,64.87960869565211,42.05114975845406,63.064652173912975,43.2150096618357,43.406135265700435,23.185246376811573
1636.0,83.1683481716341,87.08225699416198,77.21431248196168,119.11820569608014,93.63004557149937,119.2185051821913,,73.35500689358337,0.0025135270587861086,0.00017585176421941302,0.0002135270587861087,64.60532866814863,9.058117635832611e-05,32.351999802331086,0.0,0.000359418823641674,94.12429951690811,70.62368599033809,64.8988357487922,42.06476328502411,63.103840579710074,43.21403381642507,43.43672946859899,23.223328502415434
1638.0,83.15331565977435,87.04879880378486,77.20242758425178,119.13623169878326,93.61820809782286,119.22709622615253,,73.34230198362773,0.0021749526628944828,0.00042693035955469494,0.00018173258988867373,64.64893767091075,0.0,32.50468333682059,0.0,8.173258988867374e-05,94.12690821256028,70.6265120772946,64.93304830917866,42.08073913043473,63.16134299516901,43.20881642512072,43.46855072463763,23.264256038647318
1640.0,83.1380805983,87.016297661734,77.1908280432771,119.16730246745506,93.60668474473995,119.24201265022377,,73.33003370638338,0.0013090908432690626,0.0006045454216345313,0.0,64.71430909022267,0.0002613636575206584,32.41070454123255,0.0,1.363636833792409e-05,94.12636231884048,70.62641062801926,64.98014492753616,42.10221256038642,63.236014492753554,43.20118357487918,43.500705314009615,23.303603864734274
1642.0,83.12267856168295,86.98389702248865,77.17944693237924,119.20684406440981,93.59456295333786,119.25336933852587,,73.31787411303262,0.002491308684359396,0.000877722269904321,8.641358554492456e-05,64.81230089853193,0.00025924075663477365,32.3430441556296,0.0,1.358641445507545e-05,94.12139130434771,70.63523671497576,65.03614975845403,42.126874396135214,63.324169082125536,43.19113526570043,43.532806763284974,23.338821256038624
1644.0,83.10770366598709,86.95242987527095,77.16739442956099,119.23040804557571,93.58248716095846,119.25483548400562,,73.30583512393649,0.0017,0.00026982249402098544,3.017750597901457e-05,64.84500740973664,3.017750597901457e-05,32.34364186567471,0.0,1.5088752989507285e-05,94.11124637681148,70.63613043478254,65.09883091787432,42.153637681159374,63.420149758454045,43.18171980676323,43.565594202898495,23.3691835748792
1646.0,83.09285394754579,86.92161688239116,77.15565565087165,119.25647102858198,93.57050223017394,119.25416405671182,,73.29411024466582,0.0021285716014682247,0.00044285711278813485,7.142860901483138e-05,64.46581432502951,0.00014285713909851683,32.328921433397504,0.0,1.428572180296629e-05,94.09995652173902,70.62326570048302,65.16530434782602,42.18203381642507,63.523550724637616,43.173033816425075,43.594884057970965,23.3976183574879
1648.0,83.07818698095146,86.89094164587294,77.14385513788316,119.27753222316974,93.55848431563766,119.25917472013207,,73.28258756740392,0.0010617528253074934,0.0008982072346026416,0.00023087641265374673,64.48457331275814,0.00015,32.406624406571964,0.0,0.0,94.08975845410616,70.60595169082119,65.22901932367142,42.21224637681155,63.62772463768109,43.16039613526565,43.61939613526565,23.423483091787414
1650.0,83.0627218013216,86.86119566158193,77.13192370946824,119.30069707492791,93.54695513685705,119.27327491925023,,73.2708852395416,0.0017857852837171806,0.0,0.0,64.77454682707635,0.0001571073581414097,32.27477345728211,0.0,0.00035735585115154184,94.08358937198057,70.5753236714975,65.28453623188399,42.23966666666662,63.72638647342988,43.14457004830913,43.63892753623183,23.4455797101449
1652.0,83.04718709714132,86.83166046180682,77.11959640103767,119.32797739834022,93.53534649478756,119.27911561285735,,73.25933517460655,0.001713817102019295,0.0003,0.0004447315919228193,64.86748550546505,0.00013618289798070481,32.26379413770254,0.0,8.618289798070483e-05,94.08453140096607,70.52222222222214,65.3304782608695,42.261463768115895,63.81959903381635,43.1293671497584,43.65683091787435,23.465772946859875
1654.0,83.0321282890252,86.80229843175158,77.10754898034949,119.35504438103845,93.52288308342756,119.28817681379746,,73.24824240785102,0.0018126985142857142,0.0009295634285714286,2.817462857142858e-05,64.6725430336,0.0001140873142857143,32.42814522925714,0.0,0.00012817462857142857,94.08855555555544,70.44963768115934,65.36770531400958,42.27953623188401,63.90529468599026,43.116299516908164,43.6728405797101,23.481768115942
1656.0,83.01681290149811,86.77218431129707,77.09502277562434,119.38160868267016,93.51054814764247,119.27764021460867,,73.23717034717102,0.0024785714285714285,1.3492063492063495e-05,0.0,64.5088761904762,0.00017301587301587302,32.39322341269841,0.0,0.00025952380952380953,94.09229951690811,70.37588888888881,65.39753623188399,42.29568599033812,63.98595652173906,43.105850241545845,43.68491304347822,23.489541062801905
1658.0,83.00138322071018,86.74165265126548,77.08266116295789,119.40349491810188,93.49760894999712,119.26070850141862,,73.22602090211488,0.0015516252453231657,0.00036558316978455615,1.720841510772193e-05,64.65706061260856,0.0,32.43638249995044,0.0,0.00046883366043088775,94.09235265700472,70.30967632850233,65.4211932367149,42.31045893719802,64.06144444444438,43.09564734299512,43.694053140096564,23.49181642512075
1660.0,82.98569002957183,86.7104256808934,77.0706598772465,119.42813694315824,93.48503418119661,119.26459555742997,,73.21432339888258,0.002385601613961545,0.00025710060523557933,0.0003143983860384551,64.96465533973401,5.004929389182409e-05,32.27194639697627,0.0,0.00014289939476442066,94.0894299516907,70.2546618357487,65.44046859903375,42.32319323671493,64.12847342995163,43.08463768115937,43.70009178743956,23.487241545893696
1662.0,82.9698058014383,86.67892417015463,77.05849017829604,119.44170688955114,93.47259808407496,119.2679662857878,,73.20294394925895,0.0024914171517977997,0.0,6.786428012637509e-05,64.54478743417964,0.00035,32.3642393209663,0.0,1.3572856025275026e-05,94.08537198067621,70.20343478260861,65.45477294685982,42.33632367149754,64.18853623188399,43.07608695652169,43.70473429951686,23.475260869565194
1664.0,82.95473502303845,86.64692311043474,77.04653112329858,119.4508534188923,93.46026819384298,119.28337653718843,,73.19154983687078,0.0015855899711368629,8.172144918795506e-05,0.0,64.70453065954422,8.172144918795501e-06,32.374933993882735,0.0,0.0,94.08322705313998,70.15360386473424,65.4648357487922,42.348207729468555,64.24133333333326,43.06730917874391,43.70856038647338,23.457942028985478
1666.0,82.93977171697927,86.61512210256745,77.03482844887124,119.45657271723981,93.44825348773826,119.27683644238658,,73.17983999720579,0.0011456888364992503,0.00027086223270014997,7.284441824962509e-05,64.76948759242575,0.0001072844418249625,32.42614210973391,0.0,0.0001,94.08247342995158,70.10941062801925,65.47280193236708,42.356173913043435,64.28909178743955,43.05688888888884,43.71224637681155,23.4363719806763
1668.0,82.92454581338212,86.58363350593731,77.02298923097496,119.46157322819383,93.43621736883685,119.28452043197939,,73.1679989069884,0.0010936128519137276,0.0009598802063226882,2.674652911820785e-05,64.78647780490503,9.011979367731182e-05,32.308438709264514,0.0,8.662673544089608e-05,94.07715942028973,70.07079227053133,65.47810628019316,42.36012560386468,64.3342318840579,43.04707729468594,43.716565217391256,23.41065700483089
1670.0,82.90916260835598,86.55195881270296,77.0114978070522,119.47813635781337,93.42384370321118,119.30266525020542,,73.15613027521735,0.0011177820123555472,1.682600176507818e-05,0.0001,65.08636616497851,0.0008985659841142964,32.31485133712259,0.0,0.0001,94.07095169082113,70.045497584541,65.48117391304339,42.36011111111106,64.37701932367143,43.03474396135262,43.72056038647338,23.378048309178713
1672.0,82.89420194387617,86.52064452834746,77.00057552766648,119.49678652635012,93.41161376027044,119.30561477081318,,73.14391747184978,0.0010322740730232963,8.53028807751893e-05,0.0006118172846511358,64.79780367310404,7.348559612405349e-06,32.34371583814954,0.0,0.0001,94.0711690821255,70.03340096618349,65.47859420289848,42.358768115941984,64.41556521739123,43.018632850241495,43.72454589371976,23.340115942028955
1674.0,82.87936257124812,86.48929558550934,76.98920941546696,119.50816286067224,93.39951626877873,119.29938444811235,,73.13156565380132,0.0004968318356490347,0.0002421782504962217,0.00034376233267170437,64.87303144031918,6.326737574433257e-05,32.38509307995335,0.0,0.0001,94.07499033816414,70.02886473429943,65.46912077294678,42.352879227053094,64.4469516908212,42.998140096618314,43.728884057970966,23.300304347826057
1676.0,82.8647017954675,86.45727184540932,76.97797180143844,119.51064648595569,93.38737394420902,119.28056836668169,,73.11917070637416,0.0015321884179979796,0.00019656525399393894,0.00016781158200202039,64.65815642370283,0.0001339057910010102,32.291557997286255,0.0,0.0,94.07603864734288,70.02967632850233,65.4517971014492,42.33754589371976,64.47623188405791,42.97148792270527,43.732159420289804,23.26093236714973
1678.0,82.84961071153546,86.42551128563656,76.96653016828459,119.52496748367179,93.37571308365995,119.27427116880723,,73.10671878883635,0.0012032357461867914,0.00029807909440729424,4.064714923735826e-05,65.06337069398506,0.0,32.29254985613269,0.0,0.0001,94.07512560386462,70.03699999999992,65.42590821256032,42.3188405797101,64.50982608695645,42.93932850241541,43.73783091787434,23.22258937198065
