t_s,Tm_J1,P_J1,Tm_J2,P_J2,Tm_TWIST,P_TWIST,Tm_ELBOW,P_ELBOW,Tm_ROLL,P_ROLL,Tm_PITCH,P_PITCH,Tm_YAW,P_YAW,Ts_humerus_u,Ts_forearm_u,Ts_humerus_l,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb,T_torso
40.0,40.812276416228215,10.666171522834416,36.33471113939479,7.706533405874631,36.21252388606791,12.962462970138626,36.91228400031414,12.16055730219072,42.87660108656658,11.857897949647136,46.01671538443532,8.549993556415377,48.46452355781454,10.789182762527034,25.15,25.55,25.7,27.35,40.015149992725,41.86009999515,23.305049997575,30.709934468691394
42.0,41.0441621731678,10.677283794418654,36.43010011377359,7.6652464847462145,36.36651749551904,12.992454826668771,37.05469994071226,12.187277560405583,43.056521424358024,11.777244879417854,46.15875281261484,8.603730500119523,48.64610892247346,10.907542411476015,25.15,25.55,25.705049997575,27.35,40.16009999515,41.965149992725,23.35,30.71958495341226
44.0,41.10444392302715,10.741587417973912,36.52564102692425,7.653024088542485,36.51876459154066,12.960457909524385,37.17902752482594,12.16263198192264,43.22699269513896,11.670433881685211,46.29838271289391,8.591340063642106,48.82071001578472,10.80557280164517,25.15,25.55,25.75,27.355049997575,40.255049997575,42.105049997575,23.35,30.729235438133124
46.0,41.27825779172843,10.81755262737453,36.61317689985171,7.694222923584515,36.660966606230886,12.98374274135355,37.304348580555725,12.167875947852766,43.38636672138187,11.825358039153736,46.431757449130544,8.637648783894871,48.990618378905715,10.864473294233337,25.155049997575,25.55,25.75,27.4,40.31009999515,42.16009999515,23.35,30.73898146692381
48.0,41.37199182223116,10.621114736616455,36.697720871246574,7.724162887373983,36.800796117079386,12.984306638214626,37.42439036044853,12.1635507275501,43.53786361079891,11.754585950276654,46.5586195317043,8.621333248994798,49.156894930775024,10.87522625765918,25.2,25.55,25.75,27.394950002425,40.405049997575,42.26009999515,23.355049997575,30.749577932988267
50.0,41.38100589969333,10.739507864704354,36.77823623139483,7.688844257763439,36.928862618776485,12.983322965507988,37.54758938532109,12.186962991639536,43.694425238083824,11.88290369195932,46.68290866544598,8.661754977463717,49.31859658551489,10.905844416341855,25.2,25.555049997575,25.755049997575,27.355049997575,40.46009999515,42.36009999515,23.4,30.76017439905272
52.0,41.54643627363245,10.818296996641363,36.85526545469692,7.682617346598552,37.03967529221299,12.939472655041564,37.67005161504069,12.197435290744096,43.84263479872505,11.765971463169208,46.795897272602424,8.621979481202947,49.47233411558145,10.873258175746246,25.2,25.6,25.8,27.4,40.555049997575,42.46009999515,23.4,30.77077086511717
54.0,41.523350586234585,10.786632056703883,36.92327403449247,7.687171749388802,37.14087389656431,12.947492478115896,37.79384813794936,12.2157495748624,43.97871955174232,11.850901919472776,46.90856358622147,8.638308341443981,49.624903344847425,10.90551488602438,25.2,25.6,25.8,27.4,40.605049997575,42.56009999515,23.4,30.781367331181624
56.0,41.7158691432232,10.863185931314764,36.9935587046548,7.71008794450511,37.232123374686154,13.039694707931378,37.92655270770184,12.140508670989291,44.11063417328192,11.761902037355334,47.01414839967904,8.687959980653911,49.7686289286872,10.835498191114924,25.2,25.594950002425,25.8,27.4,40.66009999515,42.655049997575,23.4,30.79196379724608
58.0,41.684994421337315,10.68180163614897,37.060291006171326,7.708286878440337,37.323389253274065,13.047176131316023,38.05515621775139,12.162554609393707,44.24449502498597,11.868027253316658,47.11781882181161,8.654531791560142,49.909682631451574,10.843691236844071,25.205049997575,25.55,25.8,27.394950002425,40.755049997575,42.705049997575,23.4,30.802560263310532
